age,length,diameter,height,weight,gender
6,0.4746272085316199,0.2113523902722882,0.17818938213311952,78.97176559639531,1
1,0.4658468782323453,0.339388474774402,0.17052218088409637,98.78195973684731,1
4,0.12280731857544322,0.2386913822453703,0.10692431998744638,88.79262467732346,0
4,0.20457851474042058,0.36054269381192533,0.03426084189272748,1.0288465103594489,0
8,0.2434575216503023,0.35803740223191055,0.12807987688520728,6.503366699276217,0
4,0.43863165266921345,0.16490615790122384,0.05547403078845149,89.87012965619417,0
6,0.13151914483468838,0.19154873000981693,0.12986550274296849,12.333761132413425,0
3,0.37782462138507256,0.2406265750909225,0.14181168537236674,59.760572845670296,1
5,0.10462003674327039,0.2675925148721953,0.03018843288749786,35.80470257480485,1
8,0.5165190487546955,0.18277462737874534,0.10061971942340944,3.860270934556332,0
7,0.592164717174061,0.23974530875297845,0.12126274241568336,8.746179172867864,1
9,0.45174739206735104,0.09232177639869693,0.0581888844729525,76.7003317165031,1
9,0.19081560024602437,0.28824403353381217,0.04819195431452838,84.31898068613991,1
2,0.35619673164795185,0.1504917415894586,0.13119259240820647,36.640784210591214,1
7,0.39022356859406504,0.06504174300971613,0.15454127736987625,25.05385412473818,1
8,0.49377107797751296,0.09063441800036903,0.07823102440870106,49.61226506640173,0
8,0.40323773003428787,0.08725029238440245,0.1446905358970689,15.652169036746562,1
9,0.2092014274059614,0.16077077154962077,0.12160130852454326,61.88558076337777,0
2,0.3275844075966686,0.13628717797435777,0.16382274255263124,74.08102330486071,0
6,0.5394348708887354,0.24697409350432542,0.04877369169076251,70.54457443866401,0
9,0.3461341207525793,0.3672239795786416,0.1613153854182714,93.24192402705606,0
5,0.45778057872951994,0.2530374196187156,0.06061750142198732,60.37049872610631,0
4,0.3430797801555988,0.2592778556513641,0.06667023996892901,59.722143676059375,0
1,0.4542740750100015,0.13331523327347977,0.19585271298163678,73.83003112291595,0
4,0.349070112753735,0.25331054595172897,0.018742579581096232,72.71547925223747,0
6,0.5222750397359712,0.10105455392145463,0.04605318713995483,28.277588323330907,1
1,0.1971711114714916,0.16747084263035888,0.1089662110787987,79.82676569472422,0
3,0.4866630048052849,0.26893478987194874,0.0814389114681191,90.49175591464278,1
4,0.5871293319286164,0.17645698855640068,0.05599894457431263,78.0511688388854,0
9,0.5311548886751415,0.36884789568625065,0.14006502043799152,85.01360472339238,0
2,0.4902133255520067,0.3574724183519589,0.13715502311636374,84.9477924170624,1
4,0.592516139441618,0.20195445173219223,0.19311078905925036,25.13797044849883,0
4,0.47678480333608153,0.23116423503590738,0.17693407123451108,82.79157729322931,1
4,0.10202405318421318,0.21613379581053954,0.19951286423600942,72.03861956114069,0
8,0.23473971697905885,0.11452690853893288,0.07894871938117651,32.67486509462445,1
1,0.3052460690472285,0.20216622549535201,0.018594553116097923,67.63094036049665,1
2,0.3141119160582041,0.11564317744526122,0.07180639345340538,67.48245760795136,1
1,0.24892090927752816,0.30032274190432556,0.10441380223550453,80.33439753776484,0
5,0.3005661707793138,0.23305223626312782,0.04271718440966424,0.5060265757101994,1
8,0.16032849559305987,0.1621978647953778,0.026164454256401327,64.89738078240181,0
4,0.5903498370120096,0.05108483937953539,0.09601848322667049,67.45247172927643,1
3,0.30306024649065555,0.2590560288334424,0.18720645099334124,57.95261374509565,0
8,0.3846053800468128,0.2771774171470539,0.15500135143303356,77.84909696084645,1
3,0.2718027515740493,0.051816369539755755,0.06918235301354105,14.781092589517133,0
1,0.49443638885973207,0.38957763136275436,0.17883694405897957,30.480238014448663,1
1,0.305686207018969,0.2823531237601921,0.1424821155976986,75.70881952902212,0
5,0.2796357085300428,0.1526005408772978,0.09803536318373986,34.620619027930275,0
6,0.2997494551580451,0.12012751267941792,0.0602777106410474,60.5631174378165,0
6,0.25091543796375826,0.373995753098557,0.11935143877897485,62.32856272513774,1
7,0.4876098887333056,0.15823795137685742,0.04703119072708356,30.212059428965826,0
9,0.5631064650881574,0.1911263115659355,0.1508340165229353,46.36048460834102,0
5,0.26265515257949823,0.27157170238677153,0.1880162971731276,68.6375159927822,1
2,0.5764353361934214,0.36172848329007223,0.1352608946213178,77.47907485300102,1
5,0.10697419796670768,0.20141222498398015,0.1477488778682106,64.89818827217036,0
9,0.3667328408754644,0.37487654879526766,0.04125279822181671,38.88103706834755,1
2,0.25229101533795384,0.25722823193756555,0.1521625539720556,3.641672508671069,1
2,0.5414299990218955,0.20112472466880676,0.10449779947319832,90.1502872061178,1
8,0.22531136009694272,0.257473094736813,0.026602711069030026,1.432830181533295,1
4,0.4387059147359721,0.17407711881310778,0.08342500719472336,10.687800149638127,0
7,0.5052120456299454,0.27995692096790004,0.14859514167633772,78.43578140060664,0
8,0.31607402496240833,0.27830813345953387,0.11985996633696795,6.558776444919699,0
3,0.47606726049396686,0.3376014972531182,0.06821270372752136,88.63673577281611,0
1,0.5148011239638596,0.19096836588561433,0.19786231058760873,89.86204143195809,0
4,0.28951688605190906,0.06314776837637494,0.11906604952938053,6.070153191577106,1
6,0.14827480491372905,0.39462106803925745,0.18954034652479435,95.12010808891367,1
5,0.22806978870735614,0.20684999117622027,0.11635710394599999,51.68901511083285,1
5,0.39596757909422486,0.3781723288681652,0.11728664176272952,0.5688097608861734,0
7,0.33823860027491537,0.2852143700016205,0.019722383180415713,52.57478555144551,1
5,0.3439672844935885,0.14334390716015533,0.029774965609480133,38.369240122709314,0
5,0.32925727611832534,0.24742252611687615,0.12674323199021595,98.54330427076425,0
4,0.36229631037742394,0.3849265412807218,0.1490104055245144,26.428531319589315,1
